dataset,observation_id,lane,n_models_evaluated,evidence_sha256
agentdojo,agentdojo:workspace:user_task_14:injection_task_2,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:workspace:user_task_15:injection_task_1,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:workspace:user_task_15:injection_task_4,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:workspace:user_task_17:injection_task_4,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:workspace:user_task_17:injection_task_5,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:workspace:user_task_18:injection_task_2,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:workspace:user_task_39:injection_task_5,agentic,7,NOT_CAPTURED
agentdojo,agentdojo:workspace:user_task_4:injection_task_2,agentic,7,NOT_CAPTURED
bfcl_v1,bfcl_v1:multiple_function_123,agentic,7,b07dbfffa5aa3e2dea3be40739de6c6983019cfa88278036151bdd0eea18c8cf
bfcl_v1,bfcl_v1:multiple_function_129,agentic,7,904a15185581b752c6704017d7e3b92c3108459cc7ca2796e8327864d4fb773e
bfcl_v1,bfcl_v1:multiple_function_148,agentic,7,09f347a557514a9529d78154cc7de67404c55c5307d688ff296b7499cc5037bf
bfcl_v1,bfcl_v1:multiple_function_173,agentic,7,fb93440b22652e20718c52139de95acb8913e173bad970f63395cf95835fc649
bfcl_v1,bfcl_v1:multiple_function_174,agentic,7,ba036016272b455b4a5206fbdbdf65f3d44c9eeda124b9ecf53641f9aa812b58
bfcl_v1,bfcl_v1:multiple_function_42,agentic,7,ff658fd9d85870a408a48d6c509b4c4aab95ffac9433e48d8fba6552a88135dd
bfcl_v1,bfcl_v1:multiple_function_50,agentic,7,85da16ecad37caa8e7f71ed305630e1ad442806ce62005b2f1d20f090b6ada8c
bfcl_v1,bfcl_v1:multiple_function_56,agentic,7,ab04353eceb9fe4f15fdf5adac52aafe4855573f376ac4a59487ff0f0f9304ad
bfcl_v1,bfcl_v1:multiple_function_63,agentic,7,fe0797facfd5d7fe869fd26c2d9250fa270102c829aa09dd89bb9f21b760eeca
bfcl_v1,bfcl_v1:multiple_function_79,agentic,7,1181d11a596f472ede027f382c601f3da124b9982d688130e10049c73f852db0
bfcl_v1,bfcl_v1:parallel_function_113,agentic,7,ce1d409ab801ba8fb53b0f0cba94d3e3a316e7e19767db1da0f3315180f5c30d
bfcl_v1,bfcl_v1:parallel_function_119,agentic,7,ad4ae499114c1ce514b449b25f17437773c9038c82569e08f5bd27c015d82632
bfcl_v1,bfcl_v1:parallel_function_148,agentic,7,aba9743ca33a5691187b2bec45ab0087bc465b66fb3e2803b068c16f9a926695
bfcl_v1,bfcl_v1:parallel_function_178,agentic,7,4dee65a725322a0a3d82afe480add3b67f76fbbce9d6de43759513cd2cdcf050
bfcl_v1,bfcl_v1:parallel_function_187,agentic,7,47b97783ec5233da0aea729aa887499a6b64eb875d4037f6043d19521f491006
bfcl_v1,bfcl_v1:parallel_function_198,agentic,7,0b860d5e9345fe75149b29392710bc68ebf23104b59a812b6b3905b34326864d
bfcl_v1,bfcl_v1:parallel_function_199,agentic,7,dec818c606c6c62b7ada600647f2eb905c4be237f2b472b7e3e870ec09611b7c
bfcl_v1,bfcl_v1:parallel_function_2,agentic,7,36b89f60f7280731be96b9ed8ef779ff4ec60173ccd26a48d3cc7ed10e69068b
bfcl_v1,bfcl_v1:parallel_function_33,agentic,7,377fc830167add3f460c8f0a65e05eb20d92922d903c2d6004d6eda6d16b9beb
bfcl_v1,bfcl_v1:parallel_function_98,agentic,7,3d317410079c51e9334bff79a27b3f3b69380ba859180de1b0bedf82631b8e36
bfcl_v1,bfcl_v1:parallel_multiple_function_100,agentic,7,2e42fbbfa1c5139b327c2eb08bbd517d293b52ad550b3fd8720cf206d273f62f
bfcl_v1,bfcl_v1:parallel_multiple_function_12,agentic,7,b3e7dfd0932b194455b579aa3ea2e9a9d22a8b53e22bf8c9e0e38fb074c100dd
bfcl_v1,bfcl_v1:parallel_multiple_function_160,agentic,7,b7cc95dc81dc65a05124b935d79c16bad1b735e5429f28670b945a6bd81a536b
bfcl_v1,bfcl_v1:parallel_multiple_function_164,agentic,7,a97f1e8b8208cc7a8aa50cc25202a416b522479fa43eff0dde82962b7a09ab15
bfcl_v1,bfcl_v1:parallel_multiple_function_171,agentic,7,2e1eb73dea15e3e5bfdff15f8c7971efc6b793c73ed0b13eeb901869245b550e
bfcl_v1,bfcl_v1:parallel_multiple_function_175,agentic,7,89cb69956afce1c69345049f6def021c5b3366beb0b8e701cfad2e7b2bc906d6
bfcl_v1,bfcl_v1:parallel_multiple_function_176,agentic,7,8c32c960fbca6a277efe35cbd5af24a37f82a4a54230f1886a3b6e9dccd52f0d
bfcl_v1,bfcl_v1:parallel_multiple_function_178,agentic,7,ee1d66062315600501e74a84f038529354ae3253a7f6f211da065fba45ef4a76
bfcl_v1,bfcl_v1:parallel_multiple_function_21,agentic,7,036cc58d929d228f580be294c3b388cddd31be455c41284da0aee99dd7e280cc
bfcl_v1,bfcl_v1:parallel_multiple_function_55,agentic,7,b4b85b239e43c5a8676b71aca0240d76d92e652663981f1db45890eb77664b5b
bfcl_v1,bfcl_v1:simple_122,agentic,7,b59fcde8595fa206f150602380eed7faea57ab0136877b3cc21b7d2ada851ed8
bfcl_v1,bfcl_v1:simple_124,agentic,7,ca747c2d7c6282917a3a9fa061c088b0b7a717ce2d90d2fc6b69a9fbb14d0fae
bfcl_v1,bfcl_v1:simple_212,agentic,7,09f347a557514a9529d78154cc7de67404c55c5307d688ff296b7499cc5037bf
bfcl_v1,bfcl_v1:simple_227,agentic,7,892aa8bfcb81a725128a51edfd370eaf6279445c05683e3f874510bdd899186c
bfcl_v1,bfcl_v1:simple_23,agentic,7,6cb1243b03ee2615b70ac4a0f37d0a2c1e964c7c30377151d9186e7b1c222ff2
bfcl_v1,bfcl_v1:simple_319,agentic,7,ba036016272b455b4a5206fbdbdf65f3d44c9eeda124b9ecf53641f9aa812b58
bfcl_v1,bfcl_v1:simple_84,agentic,7,faafa4ce754d6b35e391510c4838564e2ab25db80bdb5147457323515d507897
bfcl_v1,bfcl_v1:simple_87,agentic,7,38b9a6498173ca60641ba9e6442ec15e0f1f9b2f6d0c0469aa942e4d8d47be5f
bfcl_v1,bfcl_v1:simple_89,agentic,7,067a65ef8a67fb2bfa0fd12e99b29d29acede746762cc0930fbb7f090b7b955e
bfcl_v1,bfcl_v1:simple_95,agentic,7,1d2c78f11a80c03a991938fa6cf56fef96a23e19cf0bcc2f1ad51074b3bc7d2d
fever,044e00c0c3890c174d407185be48c8b2,factual,7,8aeb3f40eb8bec47689632d355ea5d86c6ca8900839f59234cc16ccad1fd633a
fever,07608521542737c3c42a0604b590c1fd,factual,7,8e34fa7f5ba9a081018fe1d9f8611632f1254e00d3d32f78d8d26e80a484086b
fever,107bebbdd19dc7310cf0f6d89c316cb1,factual,7,583f4781c218a04d9797396128328fa4de816aa7410de102cb24f4393240b23f
fever,18f2e7f282b727da282aef718bb5aeb3,factual,7,a33d5cec1627ab1629bcbdd9e83e5ca6d299038d22e9b80ac861451379e3b1c8
fever,3262a15b0a73a57738664d4a84181a05,factual,7,828152f2d309ab3e982bbef75d8f0251a9f5b420f931aca415fb42861dc345b1
fever,36dce145d3b4c0f27a47184ef5dc4c68,factual,7,695846badfadcb7f0373a711708f690485c95e84f0bbe2a881cca766e2d1e706
fever,3bf0343e3e9d0ddcf76e978fad3fbdc6,factual,7,6e2049d64ab357abedc48a1c3a79061a8ffcaf7cf5f1e7f62a7f57b2f0f4c875
fever,40dee27b7c7afcc479888394c1f32a25,factual,7,682454604bc322a8f75cd5754cada11654f3171806b9b25348f0b843fcf8f681
fever,43bda800acd929d0a0f3774c00f5613f,factual,7,0a28a330236862e1abf633b00787690bba55b65b97f24ec5d99215f9a2c43954
fever,469931cec0cfaa66c043083fd011bd53,factual,7,daed31dbf4cffef2806b9b1be0038d981029ab4acb17e267bf35556940ed08a0
fever,49ab6609565179c662b343da7f152dd5,factual,7,e46cc59cb0110f5777330c48f7bc6bffbe363422f9e7bfbeb9bd37ab3e377a34
fever,4fbc80c5784202df6072e373818c581f,factual,7,8ce0b880abcd26eee29407545864e292260b89b918ffdeb558b5c3bdb414d460
fever,5097bb43f9f32c426fff2bd028570c59,factual,7,528b86d624d7badf9390027a3d10f01c716cd3063f67b1e0656e34ff0363c309
fever,52d508d7288b8c678db6f5fada6607b4,factual,7,0a1fc3a49f232f44307f8d59701cfefa1e86da4bb16145f04bb3d80080d1dbfa
fever,56701244cd5e29e1fccaf69e54516549,factual,7,fbfcf0f48a2029b58901aae3836ce9a6e8881760019671b5401cb5824e7e4363
fever,573b49e4a1b35b8f111de78b30c2fd73,factual,7,642bf2109bd51f0eb73b8b1e904290ebb4cdac8b976a9efa8b95b921f300c90a
fever,57613958fd4917b3f1dd007e3ee2ca77,factual,7,9b34a70c5097b689d8433b3da87d49499312ae61f46e5929b078ca4360498304
fever,5d02be355f1cde26485349d7a51cb136,factual,7,30fbb0c4a9301c84da177d690b3ab176353942d20e2e6e3fcda4a5d844ee23bb
fever,6525ac9b01d826e066963adc9faead8e,factual,7,43523816e8d22421e81011d62bf742d344b05805703e91938658339cedf1d87d
fever,75b69c74cd08062aeebb23326d6d9879,factual,7,1eb3786016b5494a8eaba686fea6fb47cbe2877025621617a699886b9a04766c
fever,8465c2034de85a7aea79c9342cc9ec5d,factual,7,3d0b18d0e0d64b1e37f718a540c98bb92ec88c2eff299ff3ffc97a87aee94e47
fever,8b3013b62cd77e6832d45bae47c4bd89,factual,7,cdd08be840185c59ffd9150ad4341dbe17cb5bae6a75168524c830a4687c7802
fever,9053e63c6044d819afd41191405a9fe1,factual,7,231fb99f27de8354d8e7dc6a86f27393953d0c154d8a05bbe11a99a9bf6e86fd
fever,93fd0f3775b7c6c069c3a2919906e5de,factual,7,23d6966d533a4efb8582225352597fdb48604a4b8787480d1303b71ae601508b
fever,a047bfee5ba3786439f0c9b39907d169,factual,7,c9e0380237f85d5b342045508c8075265e4d651abfcb62ee304a309ba01657e9
fever,a8e5225b6454a036918cc5fe89aed981,factual,7,d7dec8216d0997bd1998f0fce2e257ae946477002288530396db4fc1b1ee18a8
fever,b03d551f9498b6b06cacda2c2fe22d9e,factual,7,e08a46d764b0f9b1d262de212d03f54a68e5de25303f01682903c8ed74c963b9
fever,b8182754eb4410163c45b97ddb3b6de1,factual,7,738a146cd66ced965c6bb994dae6e79c8c9598e11ba69e71812c943199ff23df
fever,bab914e1073698bdeb7d4f076cca9b49,factual,7,eed551ef1e3bfec4d761e518757f47d4c1561d824948cf8db4ce610909b78944
fever,bd53bbd31a083a9da8902139f5ea74c2,factual,7,24f9fae78fdf2b47ac873c7ae8dc89e3907a9e0672668f1a0096dbc6e1f32683
fever,c07e0d3807241c8f77304361b5431734,factual,7,6b0a3b6a1706c4939ddd3a401d2bc4b9e6c7dc67687c72c1c1dbf5a9743fb98a
fever,c8ca51d642f10ee0222353e07aaa7f72,factual,7,0a108462eac102c5f8923287d38db2ac1c293a3ed3ba41374146fce5795578e3
fever,c8d4f39c3199de5aa43cbffc0cbf9731,factual,7,2d678afeb001a12e6789daddd8e05d87d6cdabd00e0e42a55b8b302f9b4164c9
fever,cf0cdf9bed3d132b0b639c36571b9fad,factual,7,1e7fd8194490c4fb5bae0e75bd32df1182d83ff35592576b5bfa2c41ac59cddf
fever,e3d6a422e086a8fea845ea355a9400a1,factual,7,9573ce625cf252515fefa26059f75c30cfcccf2aafbadf8b189572e118da83dc
fever,ee15fdb381af171a8b22db542036d46d,factual,7,a26fbbab146a54ff68872507e602b432c6e3efb36d09d0335bf4fcfe5cc04584
fever,eebf922f4a5086d0b853f3f725ba7fc0,factual,7,f74b0535289ac050900e49afd7c593b8f38e71508e065cb8fcbeca2a25d70d09
fever,efa5ab22a935570def8602b99dc2dbc8,factual,7,52aedeba2edbc37ee13a43010d29525335adcd9bcb8ef2b94e996587074772bd
fever,f10eb246976423f7adf5526acfa64038,factual,7,2975d0466605788f76b9bfae6afba3a32906410ca8dccf44f1edd7e905533e6f
fever,f4bac48eb8a03568a190ee8790f873f0,factual,7,b1bc6f997a1e6b0a70c5ae5ecf81b07daa6d70e8ba168070c9dadaf9247b0b53
hotpotqa,5a7125b95542994082a3e5d5,factual,7,262d16b447c785b9d925d6ac7dbf744a9576a9f9c3de0974464e6871386cc080
hotpotqa,5a71717d5542994082a3e834,factual,7,5eb210aa43db280ddef3a367c2fbdb2abff117702d5b83c6ef60f390c9f894e9
hotpotqa,5a7332935542991f9a20c67d,factual,7,e29a90bf4523d05834807f1bce489a4174b4f2fbb973ac90a9e5a3eae75dc8b7
hotpotqa,5a733c925542991f9a20c6b7,factual,7,2abcbcf4fd48a7fc798bda99271f556df53a8b2a5a7af2a62335fad9ab5da9fc
hotpotqa,5a73b2cb55429908901be31a,factual,7,f26f344ceb1272a083248ca9102d57fb0160da39cd2f404ecb7e69f8c9a7ad46
hotpotqa,5a7571095542992d0ec05f97,factual,7,f43100a5fc4d9d666282c8dcdeac628febb8dae532cd20c5ff2da26b4eb72910
hotpotqa,5a7577785542992d0ec05fa0,factual,7,798eb346a9d03d3417076c8c3d6f206835e88fa913f85a066e79d8a4ce77938a
hotpotqa,5a764c0b55429976ec32bd89,factual,7,37e5b3d098988581a29f91d218d881846090e6782983c4091423dde9eed7a704
hotpotqa,5a7a3a945542996a35c17147,factual,7,705e13a570e5632a81a6d75a259caa379243511a9df00f24e55d79a9403cf58a
hotpotqa,5a807ea1554299485f598624,factual,7,7d7afe057ddb2f852caa8b60466747d2b4c228552f18f4d8a1a620e84dab0a69
hotpotqa,5a80840f554299485f59863b,factual,7,a119fa27c569296da4649f4c659992992655a17189906c630bc4d1c78b523dbc
hotpotqa,5a835478554299123d8c20ed,factual,7,2364b7fede42441d0c8aea2667210a7714eada65fb8e8496d5ae284cc5941a1d
hotpotqa,5a872e8e5542991e7718170c,factual,7,d48dbe188a1e81579b95a043e0a6714e729ec696cba4ab63fac96cac7f3fdf4c
hotpotqa,5a8af28555429951533613b5,factual,7,102965208a15bcd1e6d582b092cfa4d258fc4e8be13c5e253da6cd2afb28b81b
hotpotqa,5a8b78775542997f31a41d3d,factual,7,89c61a2a0c71dfe445a29ccff494c5a7dd43460cfec0ae35b1a84f8c8e28210c
hotpotqa,5a8e0a005542995085b373a1,factual,7,8d283ea8a5ad108b48944a25c373d941355f2f8a9f4a6a77b654936f39070419
hotpotqa,5a8f0a01554299458435d539,factual,7,84e32bf962064a4e3d15a5cf168a5ee386ad21d3ad9a095619a874011c0f0aa7
hotpotqa,5a90bd7b55429916514e7547,factual,7,45461ac5f29cbc7eb09deb0f27173efe268443cd4b587a5bcb31040d9a2f60a0
hotpotqa,5ab42b8955429942dd415ea6,factual,7,4548a1e92bae24625713c6ca05f99b18ca2322d8b215401b41bbe8cc08bbf154
hotpotqa,5ab8ee035542991b5579f04b,factual,7,9643e65368edbd11ac9cc9b279345fa5f9d8e4531b86b349241f4b599e7840f5
hotpotqa,5ab8f7535542991b5579f0a7,factual,7,c809bf31573de1c8491f984254246e247a5ce827a09ab4feff2198667db652c6
hotpotqa,5ab9d44255429939ce03dc36,factual,7,59ac74c2b6482723eb4c4704812b9133264b6b20eb878ef58be83b9243afcbe5
hotpotqa,5abba4855542993f40c73b68,factual,7,dd36f53aefd795a45b03c986bcefc6fd21da1cb2bfc4430a9596c239cefefeca
hotpotqa,5abf04ae5542993fe9a41dbf,factual,7,d69e0de50fd1a43c0a692260587345368453df3c65bad0fa930560d531645dd4
hotpotqa,5ac19d4c55429963665198bb,factual,7,73b2facb22f0eab0e497b9a08a5e404e4fedca2dc9c53e7543a7db1efef41f98
hotpotqa,5ac240ef55429951e9e684ef,factual,7,702748ca9d9a643a095834b1226f9ffaeda69b9dd30fcb51e5ee31c859b1302e
hotpotqa,5ac3165c5542995ef918c10a,factual,7,2f39390276d19552d71cf89476f6a4068264a3c758410478dec22ba439d29f3d
hotpotqa,5ac3bab155429939154138fb,factual,7,6589120ff4feda3ed74017167193b8504285e0d8e00d8504af8bb2d13104b487
hotpotqa,5ac51a055542994611c8b390,factual,7,a00a76308882db3c2a56f8005baad39f127c07e6051c4bb43b59c4026a129aee
hotpotqa,5adbd70c55429947ff173843,factual,7,03d45651094496ca6eac18df7a6efc847aabbe1380da8667f5b25e261c7d5fc6
hotpotqa,5adc0c2b55429947ff1738db,factual,7,11a86f5cc7778313060aa92f7311f10bde1c2734eaf0d41176738a293f3bde99
hotpotqa,5adde3a45542997545bbbdc2,factual,7,6f0fa4377110df660031585070f5a7f3034c58cda1eb5f1e9685506aff60f60d
hotpotqa,5adeb95d5542992fa25da827,factual,7,672fb94f4ab2d779266cb1698145dbff408f6055b2e1b9fad0eae2bf96669374
hotpotqa,5adf39ce5542995534e8c76d,factual,7,5a072e90dbeec6caf5fa97ff6a576cd019ceb3050588c5267896d12c5d8d2e4d
hotpotqa,5adfc50355429942ec259b43,factual,7,11e99f53803f02c314803acd92b3fd3539ea226d4782aff5b9d6caa3cec89a47
hotpotqa,5ae0a54e5542993d6555ebdd,factual,7,d32f5b752f91fe92691e22b79b7ab9721fab76112e3a33c4e52a8dd440427409
hotpotqa,5ae0a59a55429945ae9593e2,factual,7,1a23f8562fbeb8f4c24738d45d1b6315c44a231d0f0ace0010ad6ab6519ca5c6
hotpotqa,5ae2b770554299495565db0f,factual,7,0dbd4def9164f3ca97db66633b1adf9aa31f8c0e887ccc361be8b1c7af0a07b5
hotpotqa,5ae491155542995ad6573da3,factual,7,0cece02f378afc8b7f105af70367e551cb1168a9072247e7eafa0eeaf6399832
hotpotqa,5ae694a15542991bbc976141,factual,7,50b200f1280893ef7bc2db1c4d79445c7273837276b8aaae65c81b7a5fee6690
mind2web,mind2web:00c4cba1-f215-4132-a25f-5ffe07eefc3d,agentic,7,e80152f28204064e8af840e3867a2d7ffa958d07c6c575982296c6b1d7cb37d8
mind2web,mind2web:055d52f6-14e4-4bcd-9794-fcef2d308bc5,agentic,7,fb63e1f21b34ce2eb2b5fc98ba7fcd345c07beb84d443b665bdafbb24e6af7b6
mind2web,mind2web:058c3589-8dff-42f2-8cd1-7d2bc1518c4b,agentic,7,64d6dfff9e8e76689c7a1336c2f4360b3ac7674e84ba13ba7060db15b37c4ad1
mind2web,mind2web:18407b93-9c3c-4b03-b99e-37d5e6024787,agentic,7,501c9db0658d5d8b4365401ca3ee799aaf82e43e773f88a179b482b4fd7362bb
mind2web,mind2web:3f3a01ed-5477-490a-83c4-8163f5baf59d,agentic,7,6f75ad714543b7c0a9738961333899c92a24fbd94357765ca3030e85f73796ac
mind2web,mind2web:40da8e9e-3166-4a26-a38d-0988d28a5d3f,agentic,7,df97a7d6577328ac8bbe5b5bcd7a577a6213540efcac7cac88ceea75810be684
mind2web,mind2web:432f5f79-717d-4ed3-8d2e-689d456b0cb1,agentic,7,12bed822b22cddadec5b15c0c51aab26e4989748bad95fdb2ccfdd4e9786a59e
mind2web,mind2web:452f7778-5bbb-426c-8ced-dc8ba391f93c,agentic,7,d378ff2a7da85e4c00c25b5373269b13491e940b23c53f0728336560d7e8a39b
mind2web,mind2web:4803233d-3903-457b-a342-0a130a603926,agentic,7,e5f1f2a8f68b51f58518439bd452e25955fdfca536f43167d8400ed5e554684d
mind2web,mind2web:561d7434-b480-40e5-9210-63bf58abb647,agentic,7,55dec0b7e18a3a74e43949a9f06c7fdcde14977d16914bee438f48f60e3cc899
mind2web,mind2web:5dbb49e4-6967-49da-bbb2-6722f3b3589e,agentic,7,0b9e511a9241f23ab4181e823541648356c749ca9eee2e5300202bf769fc6d26
mind2web,mind2web:5e44bffa-2fca-4260-9683-1a33e922821b,agentic,7,d373e5cf9a796fa1c56dc2fd3e3d9e4f4884c123da86797c8304c8c7627103b1
mind2web,mind2web:64bb0253-47b3-4488-a971-d15638a12048,agentic,7,b1d12c2f81318f0dc0493ea56d9a7be6ed6c3d095ecca41bec48bf10b6c8f3ac
mind2web,mind2web:69256047-1819-4deb-a826-34196557aa7d,agentic,7,dd2fd4964d546b14034a13ec95aa683d22c088bead0fa59463b2d5edd971fe4c
mind2web,mind2web:6ab2d556-4861-4f59-9627-659bf8ce7e7a,agentic,7,f72e6eb9fb1a0787d8d9f6c3048c2c8dec8be638d4092786c3bec69a4d57c178
mind2web,mind2web:731c288e-1984-4347-b519-4067b9d9389a,agentic,7,5c463d2a764fb42f5a95cb224ae83d66bc6d589dd2e03499294f173095f78ae2
mind2web,mind2web:78f4f72b-eccb-4077-a181-93dbc0add207,agentic,7,27022b31ddeb3ec377e0229caaf4ce6512225ae313c0afab9438fccab27a5e9c
mind2web,mind2web:7c449ec3-e561-429e-ae31-f4ce2a717051,agentic,7,a19b2530a75cb996d10e2b570452568a52fc4e1115cdb2ba0016338c677a6ca7
mind2web,mind2web:7e4f97fa-03b3-45a0-ba93-ca1b93e892fc,agentic,7,68786b43eacf44a39dabcd42883f3542068b5ba1e2cc4da2353b32f5af9e3c7c
mind2web,mind2web:85a6f355-6b4f-4fa8-9290-b17f0904d9c5,agentic,7,59f20f3570cade3c1d4ada8107e1d802e2dcd9e3e2a339b7fa61aebb8673d3bd
mind2web,mind2web:9343e526-9d45-4dc1-8bdd-84b61e119cac,agentic,7,b8679b86ef461cc1e9df8eafeed479b59236e027ac2313a6c1fc791b902b7332
mind2web,mind2web:93b1a840-7e4e-4300-8d4a-1bb5f931c0a7,agentic,7,8d6e7caaf5346ebe31e613ef85389bc99e4210cdb527cd4bcfd89a82fdb68b6e
mind2web,mind2web:9b42d8f6-813d-41c2-8f3c-d08e631ddc18,agentic,7,86028560111246f8adfb1a0c1e19119d7051f56f8cba2f65c2782ee7d8c0baa8
mind2web,mind2web:9bfeee6d-26ee-46af-9a65-40531a72c59b,agentic,7,498d82af9f4b2fc7c8299a58c9386550dbd8647e89eba0e6f21a526286e44adc
mind2web,mind2web:a0ccad02-b8bf-4f0a-9b81-478fd7469288,agentic,7,6ea6bc77cc2119a5c7e187e1acbb62890f5c92a558453205ce518db23af68afa
mind2web,mind2web:a3d48a23-067e-4b93-8d7a-c0723c26aab3,agentic,7,a20a565c9a707f66ffd49e951e94eed9b82c420f611aaf8a3ca72bb13b218345
mind2web,mind2web:a4290d7b-5a86-41a7-9be5-2b13127ba4cf,agentic,7,46cd08246f3b778326b8a6ea1bf3ffe4e90da1708ab053b4e62adcd93a1e2ea9
mind2web,mind2web:aae43de3-e15b-4054-b179-9d0f6be1dac0,agentic,7,97c671fbe5b010b5639724d8987b0574613df7e15cec9f0ab0deb90ac8a67b69
mind2web,mind2web:aba4ec7d-5f1e-4a1c-b93e-f47249085225,agentic,7,14f7c97f3b53b444ca82545f331a602fac3114538912084d4fe56d638b2df943
mind2web,mind2web:b35fe3ca-8837-43eb-9211-42ddbf38657f,agentic,7,6418cf4598d204e7dbaa52eb3394ad33ed76925e31fc9c13e185990b6dba3d8f
mind2web,mind2web:b82faa3c-f40b-45cb-9f2a-f36250b93e0e,agentic,7,185170a196ae696e4298d4e26c3add1623c235a4f0cced85bcfe1c9a4d64d41a
mind2web,mind2web:c0eb12ea-844e-4497-86dd-1d30ed0a2fb5,agentic,7,96b7ef75410316ea1169f3990a06ee4f00cce7e9f0f430a80b66f6acfea979c9
mind2web,mind2web:c96f31bb-bc95-456e-b130-0761f184b1a2,agentic,7,4ebbdc1419673d5f10a257a921443e0310f12fff7f0d0c5725620ceaf26464cd
mind2web,mind2web:c9e0cf26-1ee0-444a-9312-9b3c607a9764,agentic,7,eae4783a5d0f49ac9374635ed45ff9f3b545aeda014517ad55265ec7a8a5c724
mind2web,mind2web:ce59d078-a4cb-448b-b7df-7854efba0c25,agentic,7,eedc4eb1fc2f539c96c74b6f97c3dfce5d1149993dac10d55b6a3afad0726c79
mind2web,mind2web:d68e0dc9-2fa9-4550-b2cf-a45badaea0e9,agentic,7,5c5d53eafea0cb4bd8c558909738a7faeef7d15613210369f04f9e8fa2bde26d
mind2web,mind2web:ec55e43d-c06d-41a0-beee-92949dd9899c,agentic,7,c8133d64b1d05f10a477bd1487356be6381c37d1d66e060ab6079d06057906a6
mind2web,mind2web:ecb3adfb-fb33-43ec-8a00-15fb86781aa2,agentic,7,29da5a9a8a34241676de124d95c74e1c7a45b714337dafb54419cf908468271b
mind2web,mind2web:ed1c7bbb-d60a-4a2e-856d-cf5127bdf46a,agentic,7,4d08bf09e3ce531e08c1484db20a131fa2606bbabc16af3202d94c9ffb8232af
mind2web,mind2web:f6b5b663-4b9a-4644-a8af-2e9416c17fc5,agentic,7,7d4853888d8f5f723808be462d509688220efed1d8e368b34d12a092300acede
pubmedqa,10411439,factual,7,5ca45bf01486a6f004bdbd653f74abfaa89e2f1336af2635b81285b88391daf0
