cell_id,k_nc,N_nc,k_pcg,N_pcg,h_nc,h_pcg,raw_gain,haldane_anscombe_gain,cov_audit
Llama-3.3-70B__ToolBench,38,230,17,202,0.1652,0.0842,1.9632,1.9333,0.2920
Llama-3.3-70B__WebLINX,38,230,12,202,0.1652,0.0594,2.7812,2.7067,0.2960
Llama-3.3-70B__Adversarial-Integrity,54,230,19,201,0.2348,0.0945,2.4838,2.4440,0.3420
deepseek-v3__FEVER,21,230,7,203,0.0913,0.0345,2.6478,2.5316,0.2540
deepseek-v3__HotpotQA,27,230,14,202,0.1174,0.0693,1.6938,1.6667,0.2750
deepseek-v3__2WikiMultihopQA,34,230,14,202,0.1478,0.0693,2.1329,2.0909,0.2920
deepseek-v3__PubMedQA,30,230,15,202,0.1304,0.0743,1.7565,1.7292,0.2870
deepseek-v3__TAT-QA,28,230,10,202,0.1217,0.0495,2.4591,2.3853,0.2750
deepseek-v3__ToolBench,35,230,14,202,0.1522,0.0693,2.1957,2.1515,0.2920
deepseek-v3__WebLINX,35,230,15,202,0.1522,0.0743,2.0493,2.0127,0.2870
deepseek-v3__Adversarial-Integrity,43,230,21,202,0.1870,0.1040,1.7983,1.7780,0.3040
